algorithm,file_name,seed,td,rd,time,,
inferv3,h400C1_4_1.csv,1,9866.731263,4,1463.348356,,
inferv3,h400C1_4_1.csv,2,9294.383867,7,1501.37877,,
inferv3,h400C1_4_1.csv,3,9895.415491,0,1426.287328,,
inferv3,h400R1_4_1.csv,1,10881.08921,0,926.6908815,,
inferv3,h400R1_4_1.csv,2,11609.77184,0,910.4540446,,
inferv3,h400R1_4_1.csv,3,10555.11604,1,927.903003,,
inferv3,h400RC1_4_1.csv,1,9210.620314,7,723.558814,,
inferv3,h400RC1_4_1.csv,2,9251.52823,0,704.3566802,,
inferv3,h400RC1_4_1.csv,3,8719.441115,6,721.1641011,,
inferv3,h400C2_4_1.csv,1,8057.27208,0,3597.884231,,
inferv3,h400C2_4_1.csv,2,8977.531108,0,3576.928182,,
inferv3,h400C2_4_1.csv,3,7238.615873,0,3515.859121,,
inferv3,h400R2_4_1.csv,1,11777.10463,0,3052.404043,,
inferv3,h400R2_4_1.csv,2,11626.31973,0,3073.088366,,
inferv3,h400R2_4_1.csv,3,11787.73505,1,2951.251032,,
inferv3,h400RC2_4_1.csv,1,11586.05576,0,2498.74339,,
inferv3,h400RC2_4_1.csv,2,10891.3578,0,2534.211156,,
inferv3,h400RC2_4_1.csv,3,9084.212143,0,2448.280072,,
inferv3,h200C1_2_1.csv,2,4615.072786,0,233.9258609,,
inferv3,h200C1_2_1.csv,3,3975.325049,0,233.0799267,,
inferv3,h200R1_2_1.csv,2,5201.287582,4,136.0413604,,
inferv3,h200R1_2_1.csv,3,4530.730767,5,133.0740025,,
inferv3,h200RC1_2_1.csv,2,3579.250974,1,108.2737284,,
inferv3,h200RC1_2_1.csv,3,3946.614544,0,104.7036436,,
inferv3,h200C2_2_1.csv,2,4502.545479,0,569.0165451,,
inferv3,h200C2_2_1.csv,3,4475.526063,0,556.6245501,,
inferv3,h200R2_2_1.csv,2,5448.288399,0,433.3427212,,
inferv3,h200R2_2_1.csv,3,5368.824976,0,428.9399898,,
inferv3,h200RC2_2_1.csv,2,4038.451969,0,383.8786631,,
inferv3,h200RC2_2_1.csv,3,3996.200709,0,381.4744735,,
inferv2,h400C1_4_1.csv,1,8891.443162,0,884.2386591,,
inferv2,h400C1_4_1.csv,2,9348.138622,2,906.6778555,,
inferv2,h400C1_4_1.csv,3,9481.125222,0,872.3248072,,
inferv2,h400R1_4_1.csv,1,10770.37445,1,567.9066472,,
inferv2,h400R1_4_1.csv,2,11402.57268,0,558.5753188,,
inferv2,h400R1_4_1.csv,3,11998.22047,0,533.90576,,
inferv2,h400RC1_4_1.csv,1,9119.966505,3,438.7270284,,
inferv2,h400RC1_4_1.csv,2,9867.110155,0,427.3835807,,
inferv2,h400RC1_4_1.csv,3,10090.2189,0,428.8153894,,
inferv2,h400C2_4_1.csv,1,8310.006705,0,2134.562643,,
inferv2,h400C2_4_1.csv,2,8113.55427,0,2170.94421,,
inferv2,h400R2_4_1.csv,1,12452.13183,0,1753.972625,,
inferv2,h400R2_4_1.csv,2,12753.09186,1,1827.794692,,
inferv2,h400R2_4_1.csv,3,13467.38963,0,1833.243554,,
inferv2,h400RC2_4_1.csv,1,9158.111078,0,1532.655961,,
inferv2,h400RC2_4_1.csv,2,10397.81371,0,1484.978608,,
inferv2,h400RC2_4_1.csv,3,9881.742679,0,1535.175161,,
inferv2,h200C1_2_1.csv,2,4434.091469,1,249.4349594,,
inferv2,h200C1_2_1.csv,3,4453.413117,2,245.7350297,,
inferv2,h200R1_2_1.csv,2,4687.860587,3,137.5220475,,
inferv2,h200R1_2_1.csv,3,4918.707802,4,137.74823,,
inferv2,h200RC1_2_1.csv,2,3657.956583,4,111.8887229,,
inferv2,h200RC1_2_1.csv,3,3834.265387,0,110.5647302,,
inferv2,h200C2_2_1.csv,2,3122.436797,0,574.2146337,,
inferv2,h200C2_2_1.csv,3,4737.186198,0,598.3052773,,
inferv2,h200R2_2_1.csv,2,5111.012773,0,434.2093191,,
inferv2,h200R2_2_1.csv,3,5072.787624,0,422.151593,,
inferv2,h200RC2_2_1.csv,2,4290.330788,0,378.2537806,,
inferv2,h200RC2_2_1.csv,3,4408.333665,0,368.7856398,,
