algorithm,file_name,seed,td,rd,time
inferv3,h100c101.csv,1,1582.298934,0,78.61532688
inferv3,h100c101.csv,2,1930.73814,0,76.92764163
inferv3,h100c101.csv,3,1887.01447,0,78.70046902
inferv3,h100r101.csv,1,1008.597551,0,21.49153447
inferv3,h100r101.csv,2,1205.159454,1,21.82100129
inferv3,h100r101.csv,3,1026.283166,10,24.47051191
inferv3,h100rc101.csv,1,1241.574516,1,23.23165894
inferv3,h100rc101.csv,2,1350.511801,2,22.1509912
inferv3,h100rc101.csv,3,1501.486141,0,21.90231228
inferv3,h100c201.csv,1,1147.76682,0,203.6351621
inferv3,h100c201.csv,2,1319.677182,0,201.113414
inferv3,h100c201.csv,3,1737.376782,0,188.0084758
inferv3,h100r201.csv,1,1474.068546,0,67.13752842
inferv3,h100r201.csv,2,1480.470737,0,70.97439361
inferv3,h100r201.csv,3,1589.833898,0,66.69352221
inferv3,h100rc201.csv,1,1502.219141,0,64.3683989
inferv3,h100rc201.csv,2,1775.653662,0,59.53127909
inferv3,h100rc201.csv,3,1709.828246,0,62.30399609
inferv2,h100c101.csv,1,1624.453302,0,131.5392277
inferv2,h100c101.csv,2,1829.311045,0,131.2857115
inferv2,h100c101.csv,3,1885.310773,0,134.8562567
inferv2,h100r101.csv,1,1152.441808,5,38.31769514
inferv2,h100r101.csv,2,1259.35649,3,37.76798916
inferv2,h100r101.csv,3,1238.533969,3,37.48133135
inferv2,h100rc101.csv,1,1343.460305,1,36.32780981
inferv2,h100rc101.csv,2,1594.321753,0,36.34021306
inferv2,h100rc101.csv,3,1496.139924,0,35.25081539
inferv2,h100c201.csv,1,723.8742371,0,334.1471107
inferv2,h100c201.csv,2,691.7826529,0,339.4906585
inferv2,h100c201.csv,3,797.5190726,0,333.1032622
inferv2,h100r201.csv,1,1405.295974,0,115.2565796
inferv2,h100r201.csv,2,1394.894295,0,111.7642119
inferv2,h100r201.csv,3,1582.999435,0,121.5833626
inferv2,h100rc201.csv,1,1742.545763,0,105.0135369
inferv2,h100rc201.csv,2,1658.556496,0,102.3943036
inferv2,h100rc201.csv,3,1666.821076,0,105.3481777
