file_name,seed,ni sta,ni dyn,td,rd,time
h100r101.csv,1,10,10,1400.756920617034,5,4.1368629932403564
h100r101.csv,1,10,20,1347.7142341185804,5,10.92093801498413
h100r101.csv,1,10,30,1368.4077216789367,2,16.924052238464355
h100r101.csv,1,20,10,1372.7635070090278,0,6.254474878311157
h100r101.csv,1,20,20,1402.2499876588288,1,11.14966893196106
h100r101.csv,1,20,30,1528.47050133594,0,17.527735710144043
h100r101.csv,1,50,10,1532.5621986016668,2,17.349754333496094
h100r101.csv,1,50,20,1151.49252513864,0,21.001572847366333
h100r101.csv,1,50,30,1242.794786287105,1,30.649526357650757
h100r101.csv,1,100,10,1425.500744247586,0,52.07045555114746
h100r101.csv,1,100,20,1252.770538416708,0,93.6016833782196
h100r101.csv,1,100,30,1354.8945858936902,0,60.017271280288696
h100r101.csv,2,10,10,1534.8791526473965,0,4.342265605926514
h100r101.csv,2,10,20,1369.1300088030641,0,8.506794929504395
h100r101.csv,2,10,30,1538.3910762152839,0,15.320504665374756
h100r101.csv,2,20,10,1281.310262368293,0,5.933927774429321
h100r101.csv,2,20,20,1298.2723811824007,0,10.17022180557251
h100r101.csv,2,20,30,1388.1306728191328,1,16.351693153381348
h100r101.csv,2,50,10,1323.379477155366,0,17.840908527374268
h100r101.csv,2,50,20,1342.6855235461098,2,21.591095209121704
h100r101.csv,2,50,30,1427.4219246349921,1,26.3496675491333
h100r101.csv,2,100,10,1485.8385355961022,0,50.28205227851868
h100r101.csv,2,100,20,1405.6832643839791,1,54.10280251502991
h100r101.csv,2,100,30,1493.6327014468357,2,62.66255474090576
h100r101.csv,3,10,10,1253.2677131181115,0,3.9744977951049805
h100r101.csv,3,10,20,1239.7612105981889,0,8.408268928527832
h100r101.csv,3,10,30,1298.8079066575135,5,15.874820232391357
h100r101.csv,3,20,10,1267.4612708298582,0,5.6531054973602295
h100r101.csv,3,20,20,1407.9184851146422,1,9.986319780349731
h100r101.csv,3,20,30,1471.6570222187415,3,16.96964979171753
h100r101.csv,3,50,10,1465.123011649786,0,15.695495128631592
h100r101.csv,3,50,20,1425.3837531234715,0,20.634963512420654
h100r101.csv,3,50,30,1516.4448738171216,0,27.49708867073059
h100r101.csv,3,100,10,1621.099864208588,1,49.38423991203308
h100r101.csv,3,100,20,1335.615354581118,0,52.5773811340332
h100r101.csv,3,100,30,1369.369521591561,4,60.9035906791687
h100c101.csv,1,10,10,1952.8752140054519,0,12.330723524093628
h100c101.csv,1,10,20,1967.4537283949774,0,29.12068486213684
h100c101.csv,1,10,30,1639.0682662949825,0,57.5666766166687
h100c101.csv,1,20,10,1540.7892836625679,0,13.208470106124878
